"rowcount","screen_label","tag","default_value"
"0","Work Agent","xmp-vrae:WorkAgent",""
"1","Work Title","xmp-vrae:WorkTitle",""
"2","Work Date","xmp-vrae:WorkDate",""
"3","Work Style Period","xmp-vrae:WorkStylePeriod",""
"4","Work Cultural Context","xmp-vrae:WorkCulturalContext",""
"5","Work Type","xmp-vrae:WorkWorktype",""
"6","Work Material","xmp-vrae:WorkMaterial",""
"7","Work Technique","xmp-vrae:WorkTechnique",""
"8","Work Measurements","xmp-vrae:WorkMeasurements",""
"9","Work Location","xmp-vrae:WorkLocation",""
"10","Work Description","xmp-vrae:WorkDescription",""
"11","Work Subject","xmp-vrae:WorkSubject",""
"12","Work Inscription","xmp-vrae:WorkInscription",""
"13","Work State Edition","xmp-vrae:WorkStateEdition",""
"14","Work Relation","xmp-vrae:WorkRelation",""
"15","Work Text Reference","xmp-vrae:WorkTextref",""
"16","Work Source","xmp-vrae:WorkSource",""
"17","Work ID","xmp-vrae:WorkRefid",""
"18","Work Rights","xmp-vrae:WorkRights",""
"19","Image Title","xmp-vrae:ImageTitle",""
"20","Image Agent","xmp:Creator",""
"21","Image Date","IPTC:DateCreated",""
"22","Image Description","xmp-vrae:ImageDescription",""
"23","Image Work Type","xmp-vrae:ImageWorktype",""
"24","Image Inscription","xmp-vrae:ImageInscription",""
"25","Image Subject","xmp-vrae:ImageSubject",""
"26","Image Relation","xmp-vrae:ImageRelation",""
"27","Image Source","xmp-vrae:ImageSource",""
"28","Image ID","xmp-vrae:ImageRefid",""
"29","Image URL","xmp-vrae:ImageHref",""
"30","Image Rights","xmp-dc:Rights",""
"31","Work Metadata Date","xmp-vrae:WorkMetadataDate",""
"32","Work Metadata Id","xmp-vrae:WorkMetadataId",""
"33","Work Metadata Href","xmp-vrae:WorkMetadataHref",""
"34","Work Href","xmp-vrae:WorkHref",""
"35","Admin Collection","xmp-dc:Publisher",""
"36","Admin Cataloguer","IPTC:Writer-Editor",""
"37","Admin Job ID","xmp-photoshop:TransmissionReference",""
"38","Work Location Creation","xmp-vrae:WorkLocationCreation",""
"39","Work Location Discovery","xmp-vrae:WorkLocationDiscovery",""
"40","Work Location Exhibition","xmp-vrae:WorkLocationExhibition",""
"41","Work Location Site","xmp-vrae:WorkLocationSite",""
"42","Work Location Former Site","xmp-vrae:WorkLocationFormerSite",""
"43","Work Location Installation","xmp-vrae:WorkLocationInstallation",""
"44","Work Location Intended","xmp-vrae:WorkLocationIntended",""
"45","Work Location Other","xmp-vrae:WorkLocationOther",""
"46","Work Location Owner","xmp-vrae:WorkLocationOwner",""
"47","Work Location Former Owner","xmp-vrae:WorkLocationFormerOwner",""
"48","Work Location Performance","xmp-vrae:WorkLocationPerformance",""
"49","Work Location Publication","xmp-vrae:WorkLocationPublication",""
"50","Work Location Repository","xmp-vrae:WorkLocationRepository",""
"51","Work Location Former Repository","xmp-vrae:WorkLocationFormerRepository",""
"52","Work Location Notes","xmp-vrae:WorkLocationNotes",""
"53","Image Metadata Date","xmp-vrae:ImageMetadataDate",""
"54","Image Metadata Source","xmp-vrae:ImageMetadataSource",""
"55","Image Location","xmp-vrae:ImageLocation",""